t,cn,cs,csr,us,usr,cm
2019:03:01_22:08:31,SOMEUUID:32,0,0,180075,9980,0
2019:03:01_22:08:32,SOMEUUID:32,0,0,180085,10,0
2019:03:01_22:08:33,SOMEUUID:32,0,0,180095,20,0
2019:03:01_22:08:28,SOMEUUID:33,0,0,180035,10000,0
2019:03:01_22:08:28,SOMEUUID:32,0,0,180125,30,0
2019:03:01_22:08:28,OTHERUUID:33,10,0,0,0,1
2019:03:01_22:08:28,OTHERUUID:32,100,90,0,0,1
2019:03:01_22:08:29,SOMEUUID:33,0,0,180055,20,0
2019:03:01_22:08:29,SOMEUUID:32,0,0,180155,30,0
2019:03:01_22:08:29,OTHERUUID:33,120,20,0,0,1
2019:03:01_22:08:29,OTHERUUID:32,135,15,0,0,1
2019:03:01_22:08:30,SOMEUUID:32,0,0,180165,10,0
